No. Of Ads,Ranking,Keywords,Header,Text,URL,Location,Timestamp
1,1,Tucson Greek restaurant,Bing™ Search Local,Tucson Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148259
1,1,Atlanta Greek restaurant,Greek Foods and More,Imported Ethnic Foods From Around the World ,www.parthenonfoods.com,,1269148266
2,1,Albuquerque Greek restaurant,Greek Restaurants,Find Greek Restaurants &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Albuquerque-Santa Fe, NM",1269148280
2,2,Albuquerque Greek restaurant,Albuquerque Greek Restaurant,Find local mediterranean dining in the Albuquerque area. ,www.DexKnows.com,New Mexico,1269148280
1,1,Fresno Greek restaurant,Fresno Greek Restaurant,Fresno Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148286
1,1,Sacramento Greek restaurant,Sacramento Greek Restaurant,Sacramento Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148292
1,1,Long Beach Greek restaurant,Long Beach Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148305
1,1,Kansas City Greek restaurant,Kansas City Greek Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269148327
1,1,Omaha Greek restaurant,Omaha Greek Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269148339
1,1,Cleveland Greek restaurant,Cleveland Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148346
1,1,Virginia Beach Greek restaurant,Virginia Beach Eateries,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148358
1,1,Miami Greek restaurant,Taverna Opa Restaurant,"Live Entertainment, Fresh Seafood Great Steaks, lots of Fun! ",www.opaorlando.com,Florida,1269148372
2,1,Oakland Greek restaurant,Oakland Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148380
2,2,Oakland Greek restaurant,Pappas Restaurant,"Greek Restaurant Serving Breakfast, Lunch and Dinner! Established 1989. ",PappasRestaurantCa.com,"1654 E 2nd Street, Benicia, CA 94510-2841",1269148380
1,1,Raleigh Greek restaurant,Bing™ Search Local,Raleigh Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148393
1,1,Tulsa Greek restaurant,Tulsa Greek Restaurant,Tulsa Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148407
1,1,Minneapolis Greek restaurant,Bing™ Search Local,Minneapolis Greek Restaurant. Reviews &amp; Maps of Local Businesses. ,www.bing.com/Local,,1269148418
1,1,Honolulu Greek restaurant,Honolulu Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148437
1,1,Arlington Greek restaurant,Arlington Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148446
1,1,Vancouver Greek restaurant,Top Vancouver Restaurants,Enjoy Vancouver BC Restaurants. Award Winning Fare for All Tastes! ,HelloBC.com/VancouverDining,,1269148452
1,1,London Greek restaurant,Greek london restaurant,Guides and listings for every taste from London’s Official Website. ,www.visitlondon.com,,1269148462
1,1,New York Brazilian steakhouse,Manhattan Steak House,Butter Restaurant in New York City Call Us Today at (212) 253-2828! ,ButterRestaurant.com,,1269148504
1,1,Los Angeles Brazilian steakhouse,Los Angeles Steakhouses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148510
1,1,Chicago Brazilian steakhouse,Chicago Capoeira Classes,"Fight, Music, Dance, and Acrobatics 1st Month is 50% OFF, No Contracts! ",www.axechicago.com,"1102 N Ashland Ave., Chicago, IL 60622",1269148521
1,1,Houston Brazilian steakhouse,Angus Grill Brazili,Enjoy an Exquisite Brazilian Dining Experience at Our Steakhouse. ,AngusGrillBrazilianSteakhouse.com,"6106 Westheimer Rd., Houston, TX",1269148530
1,1,San Jose Brazilian steakhouse,San Jose Brazilian Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269148600
1,1,Detroit Brazilian steakhouse,Detroit Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148613
1,1,Austin Brazilian steakhouse,Ruth&#39;s Chris Steak House,The greatest steak you&#39;ve ever had. Reserve your Austin table now. ,www.ruthschris.com,,1269148647
1,1,Fort Worth Brazilian steakhouse,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269148671
2,1,Charlotte Brazilian steakhouse,Del Frisco&#39;s Charlotte,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269148678
2,2,Charlotte Brazilian steakhouse,Charlotte Brazilian Restaurant,Charlotte Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148678
1,1,Memphis Brazilian steakhouse,Memphis Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148688
3,1,Boston Brazilian steakhouse,Steakhouse Boston,One of Boston&#39;s Finest Dining Experiences. Book Your Table Today! ,TheOakRoom.com,"Boston, MA-Manchester, NH",1269148709
3,2,Boston Brazilian steakhouse,Brazilian Restaurant Menu,Order Delivery Or Take Out From Brazilian Restaurants In Boston. ,www.AllMenus.com,"Boston, MA",1269148709
3,3,Boston Brazilian steakhouse,Boston Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148709
1,1,El Paso Brazilian steakhouse,El Paso Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148721
1,1,Milwaukee Brazilian steakhouse,Dine at Fleming&#39;s Tonight,"Reserve online: Enjoy our prime steak, seafood &amp; world-class wine. ",FlemingsSteakhouse.com,Wisconsin,1269148736
