No. Of Ads,Ranking,,Keywords,Header,Text,URL,Location,Timestamp
3,3,1,Los Angeles Steak restaurant,Steak Restaurant,Check Out Local.com To Find Steak Restaurant In Your Area! ,Local.com,"Los Angeles, CA",1269053634
2,1,0.5,Los Angeles Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053087
2,2,1,Los Angeles Steakhouse restaurant,Steak Restaurants,View Menus and Reviews from Locals. Search by Cuisine or Features Now. ,www.MenuPages.com,"Los Angeles, CA",1269053087
2,1,0.5,Los Angeles Sushi restaurant,Gindi Thai / Sushi / Bar,"Thai food, Sushi in cool setting. Reservation 818-567-1221 ",www.gindithai.com,"4017 W Riverside Dr, Burbank, CA 91505",1269051571
2,2,1,Los Angeles Sushi restaurant,Los Angeles Sushi,Sushi Menus Available Here With User Reviews. Simple and Free! ,www.MenuPages.com,"Los Angeles, CA",1269051571
1,1,1,Los Angeles Tapas restaurant,LA Tapas Restaurant Deals,"Get Discounts on LA Restaurants, Spas, Trips &amp; More. Sign Up Free ",BloomSpot.com/LA_Deals,"Los Angeles, CA",1269150639
2,1,0.5,Los Angeles Thai restaurant,Gindi Thai / Sushi / Bar,Tasty Pad Thai. Delivered. Delivery: 818-567-1221 ,www.gindithai.com,"Los Angeles, CA",1269049417
2,2,1,Los Angeles Thai restaurant,Thai Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,,1269049417
2,1,0.5,Los Angeles Vegan restaurant,Vegetarian Restaurants,Read Local Reviews of Vegetarian Dining on Citysearch. Try it! ,LosAngeles.Citysearch.com,"Los Angeles, CA",1269055068
2,2,1,Los Angeles Vegan restaurant,Los Angeles Vegan Restaurant,Los Angeles Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269055068
2,1,0.5,Los Angeles Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054547
2,2,1,Los Angeles Vegetarian restaurant,Flavor of India,Best Indian Food in Los Angeles Home style Indian Cooking ,www.flavorofindia.com,"9045 Santa Monica Blvd, West Hollywood",1269054547
3,1,0.333333333,Los Angeles Wine Bar restaurant,Wine of the Month Clubs,Chose from 3 clubs. 12 Reds whites or a mix for only $69 ,GiftsForWineLovers.webs.com,,1269132929
3,2,0.666666667,Los Angeles Wine Bar restaurant,Hip wine tasting in LA,"Funky, fun wine tasting &amp; classes for all levels of winos! ",www.citysipla.com,"Los Angeles, CA",1269132929
3,3,1,Los Angeles Wine Bar restaurant,LA Restaurant Directory,Find listings &amp; reviews for top restaurants in Los Angeles. ,yellowpages.com,"Los Angeles, CA",1269132929
2,1,0.5,Louisville Bar restaurant,Downtown Louisville Bar,Exceptional Ambiance &amp; Culinary Expertise. Let Your Night Begin! ,MakersLounge.com,"446 South 4th Street, Louisville, KY",1269132658
2,2,1,Louisville Bar restaurant,Louisville Restaurant,Louisville Area Dining Guide. Complete Local Restaurant Listings. ,HelloLouisville.com,,1269132658
1,1,1,Louisville best restaurant,Louisville Restaurant Bar,Great American Pub Food. Affordable &amp; Delicious. Perfect for Any Event! ,www.SullysSaloon.com/Restaurant-KY,"434 South 4th Street, Louisville, KY 40202",1269155567
1,1,1,Louisville Brazilian steakhouse,Louisville Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269150381
2,1,0.5,Louisville Chinese restaurant,Louisville Chinese Restaurant,Louisville Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050440
2,2,1,Louisville Chinese restaurant,Chinese Restaurant Louisville,Louisville Area Dining Guide. Complete Local Restaurant Listings. ,HelloLouisville.com,,1269050440
1,1,1,Louisville Ethiopian restaurant,Louisville Ethiopian Restaurant,Louisville Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269057000
1,1,1,Louisville fine dining restaurant,Fleming&#39;s: Reserve Online,"Reserve now for our prime steak, seafood and world-class wine. ",www.FlemingsSteakhouse.com,,1269153625
1,1,1,Louisville French restaurant,Louisville French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147418
1,1,1,Louisville Greek restaurant,Louisville Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148238
1,1,1,Louisville healthy restaurant,Fourth Street Live,"Louisville&#39;s Premier Dining, Retail &amp; Entertainment. Check Us Out! ",www.4thStLive.com/Louisville,"Louisville, KY",1269155028
1,1,1,Louisville Indian restaurant,Bing ™ Search Local,Louisville Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269056185
2,1,0.5,Louisville Italian restaurant,Louisville Italian Restaurant,Louisville Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269049013
2,2,1,Louisville Italian restaurant,Proof on Main,Part of the 21c Museum Hotel. Award winning restaurant. ,www.ProofonMain.com,"Louisville, KY",1269049013
2,1,0.5,Louisville Japanese restaurant,Louisville Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269052802
2,2,1,Louisville Japanese restaurant,Louisville Restaurants,Louisville Area Dining Guide. Complete Local Restaurant Listings. ,HelloLouisville.com,,1269052802
1,1,1,Louisville Korean restaurant,Korean restaurnat Myungga,"Authentic Korean cuisine in London BBQ, Kimchi, Bibimbap since 1990 ",www.myungga.co.uk,,1269051008
1,1,1,Louisville Mexican restaurant,Louisville Mexican Restaurant,Louisville Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269152845
1,1,1,Louisville Middle Eastern restaurant,Louisville Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269141204
1,1,1,Louisville romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154162
2,1,0.5,Louisville Spanish restaurant,70% OFF - Restaurant.com®,Get Huge Savings at Restaurant.com. $25 Gift Certificates for Just $3! ,www.Restaurant.com,,1269152288
2,2,1,Louisville Spanish restaurant,Louisville Spanish Dining,Find Spanish Cafes &amp; Tapas Near You Search Our Restaurant Listings Now! ,yellowpages.com,"Louisville, KY",1269152288
2,1,0.5,Louisville Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053383
2,2,1,Louisville Steakhouse restaurant,Louisville Restaurants,Find listings &amp; reviews for top restaurants in Louisville. ,yellowpages.com,"Louisville, KY",1269053383
1,1,1,Louisville Tapas restaurant,70% OFF Restaurant.com,$25 Gift Certificates for Just $3 Save Big on Dining Out Today! ,www.Restaurant.com,,1269150913
1,1,1,Louisville Thai restaurant,Louisville Thai Restaurant,Louisville Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269049692
1,1,1,Louisville Vegan restaurant,Louisville Vegan Restaurant,Louisville Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269055611
1,1,1,Louisville Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054812
1,1,1,Louisville Wine Bar restaurant,Melting Pot Louisville,"Fondue, Fine Wine. Fun &amp; Romantic. Weddings, Birthdays, Celebrations. ",www.meltingpot.com,,1269133193
1,1,1,Melbourne Ethiopian restaurant,Ethiopia Food,Making a difference for 25 years! Help us change lives for the better ,www.SelfHelpAfrica.com/Ethipoia,,1269132354
3,1,0.333333333,Melbourne fine dining restaurant,Fleming&#39;s: Reserve Online,"Reserve now for our prime steak, seafood and world-class wine. ",www.FlemingsSteakhouse.com,,1269153875
3,2,0.666666667,Melbourne fine dining restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153875
3,3,1,Melbourne fine dining restaurant,Ruth&#39;s Chris Steak House,Online reservations now available. Book your Philadelphia table now. ,www.ruthschris.com,"Philadelphia, PA",1269153875
1,1,1,Melbourne Italian restaurant,Local Italian Restaurant,Looking For Great Italian Food? Try Don Guiseppe&#39;s Bistro Today! ,www.DonGuiseppes.com/Melbourne,,1269049397
1,1,1,Melbourne Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054526
1,1,1,Melbourne Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053609
1,1,1,Melbourne Tapas restaurant,Tapas Restaurants,Search Our Restaurants Listings For Spanish Cafes &amp; Tapas Near You! ,yellowpages.com,"Philadelphia, PA",1269151149
1,1,1,Melbourne Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055869
1,1,1,Melbourne Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055047
1,1,1,Melbourne Wine Bar restaurant,New Wine Restaurant,Seasons 52 Grill &amp; Wine - Opens March 29. Make Reservations Online! ,Seasons52.com/King_Of_Prussia,,1269133790
1,1,1,Memphis Bar restaurant,Memphis Restaurants,Memphis Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269132559
1,1,1,Memphis Brazilian steakhouse,Memphis Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148688
2,1,0.5,Memphis Chinese restaurant,Memphis Chinese Dining,"Search Our Dining Listings For Chinese Buffet, Take-Out &amp; Delivery ",yellowpages.com,"Memphis, TN",1269050321
2,2,1,Memphis Chinese restaurant,Best Chinese Restaurants,Chinese delivery and restaurants in your area. Top rated. ,www.where.com,,1269050321
1,1,1,Memphis Ethiopian restaurant,Memphis Ethiopian Restaurant,Memphis Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269056897
2,1,0.5,Memphis fine dining restaurant,Fleming&#39;s in Tennessee,The greatest steak you ever had. Easy online reservations. ,FlemingsSteakhouse.com,Tennessee,1269153530
2,2,1,Memphis fine dining restaurant,Memphis Gourmet Dining,Search Our Dining Listings For Three &amp; Four Star Dining Near You! ,yellowpages.com,"Memphis, TN",1269153530
1,1,1,Memphis French restaurant,Memphis French Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269147311
1,1,1,Memphis Greek restaurant,Memphis Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148114
1,1,1,Memphis Indian restaurant,Bing™ Search Local,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269056072
1,1,1,Memphis Irish bar restaurant,Memphis Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134007
1,1,1,Memphis Italian restaurant,70% OFF Restaurant.com,$25 Gift Certificates for Just $3 Save Big on Dining Out Today! ,www.Restaurant.com,,1269048897
2,1,0.5,Memphis Japanese restaurant,Sushi Lounge and Bar,Dine on Authentic Japanese Cuisine! Award-Winning Sushi Restaurant. ,dishrestaurantmemphis.com,"Memphis, TN",1269052309
2,2,1,Memphis Japanese restaurant,Benihana in Tennessee,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052309
4,1,0.25,Memphis Korean restaurant,Korean restaurnat Myungga,"Authentic Korean cuisine in London BBQ, Kimchi, Bibimbap since 1990 ",www.myungga.co.uk,,1269050909
4,2,0.5,Memphis Korean restaurant,70% OFF Restaurant,Get Huge Savings at Restaurant.com. $25 Gift Certificates for Just $3! ,www.Restaurant.com,,1269050909
4,3,0.75,Memphis Korean restaurant,Memphis - Korean Food,Looking for Korean Food in Memphis? Find it here! ,www.local.com,"Memphis, TN",1269050909
4,4,1,Memphis Korean restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269050909
2,1,0.5,Memphis Mexican restaurant,Mexican Restaurant,Enjoy Tasty Fajitas and Enchiladas At Rio Loco in Memphis. See Coupon. ,RioLocoMemphis.com,"Memphis, TN",1269152747
2,2,1,Memphis Mexican restaurant,Memphis Restaurants Info,Indulge in the Best Food Anywhere Travel to Memphis and Taste it All ,www.MemphisTravel.com/Dining-Info,,1269152747
1,1,1,Memphis Middle Eastern restaurant,Memphis Restaurants Info,Indulge in the Best Food Anywhere Travel to Memphis and Taste it All ,www.MemphisTravel.com/Dining-Info,,1269140701
2,1,0.5,Memphis romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154054
2,2,1,Memphis romantic restaurant,Memphis Romantic,Look for Top-rated Romantic Dining near you with our Ratings! ,memphis.Citysearch.com,,1269154054
1,1,1,Memphis Spanish restaurant,Memphis Spanish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269152162
2,1,0.5,Memphis Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054173
2,2,1,Memphis Steak restaurant,Steakhouse Restaurants,Find user-reviewed Steakhouse in your city or zip code! ,memphis.Citysearch.com,,1269054173
2,1,0.5,Memphis Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053259
2,2,1,Memphis Steakhouse restaurant,Memphis BBQ Restaurant,"Memphis Style, Slow Cooked BBQ Since 1952. View Menus &amp; Pricing! ",TopsBarBQ.com,,1269053259
1,1,1,Memphis Sushi restaurant,Memphis Restaurant sushi,Find restaurant sushi here. We offer local search in your city. ,memphis.local.com,"Memphis, TN",1269051739
1,1,1,Memphis Tapas restaurant,70% OFF Restaurant.com,$25 Gift Certificates for Just $3 Save Big on Dining Out Today! ,www.Restaurant.com,,1269150818
1,1,1,Memphis Thai restaurant,Memphis Local Business,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269049583
1,1,1,Memphis Vegan restaurant,Memphis Vegan Restaurant,Memphis Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269055492
1,1,1,Memphis Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054707
1,1,1,Mesa Bar restaurant,Mesa Local Guide,Find Mesa Bar Faster &amp; More Easily w/Bing ™-the Decision Engine ,www.bing.com/Local,,1269132730
1,1,1,Mesa best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155911
1,1,1,Mesa Brazilian steakhouse,Brazilian Steakhouse,Looking For Brazilian Steakhouse? Find It By Location With Local.com! ,Local.com,,1269150455
1,1,1,Mesa Chinese restaurant,Chinese Restaurants,"Search Our Restaurants Listings For Chinese Diners, Delivery &amp; Take-Out ",yellowpages.com,"Philadelphia, PA",1269050529
2,1,0.5,Mesa fine dining restaurant,Fine Dining Restaurant,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,"Philadelphia, PA",1269153703
2,2,1,Mesa fine dining restaurant,Del Frisco&#39;s Philadelphia,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153703
1,1,1,Mesa French restaurant,Mesa French Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269147503
1,1,1,Mesa Indian restaurant,Mesa Restaurants,"Every Restaurant, Every Cuisine. Enjoy Mesa Dining Tonight. ",HelloMesa.com,,1269056262
1,1,1,Mesa Irish bar restaurant,Mesa Irish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269134192
1,1,1,Mesa Japanese restaurant,Mesa Japanese Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269052889
1,1,1,Mesa Mexican restaurant,Mesa Mexican Restaurant,Mesa Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269152927
3,1,0.333333333,Mesa romantic restaurant,Restaurant Mazzi,Best Romantic Italian Restaurant voted #1 by OpenTable ,www.restaurantmazzi.com,Pennsylvania,1269154237
3,2,0.666666667,Mesa romantic restaurant,Top Romantic Restaurant,Reserve Your Table At The Top-Rated Four Seasons Fountain Restaurant. ,FourSeasons.com/Philadelphia,"Philadelphia, PA",1269154237
3,3,1,Mesa romantic restaurant,Romantic Restaurant,Fine Dining at Penn&#39;s Landing. Unique Waterfront and City Views. ,www.Moshulu.com,"Philadelphia, PA",1269154237
1,1,1,Mesa Spanish restaurant,Mesa Spanish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269152379
1,1,1,Mesa Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054366
1,1,1,Mesa Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053455
1,1,1,Mesa Sushi restaurant,Sushi Planet,(215) 922-5000 Order online or by phone ,www.sushi-planet.com,,1269051928
1,1,1,Mesa Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055698
1,1,1,Mesa Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054883
1,1,1,Miami Bar restaurant,Miami Restaurants Bar,Miami&#39;s Big. Find Out Where to Go Before the People Who Suck Do. ,Thrillist.com,"Miami-Ft. Lauderdale, FL",1269132786
2,1,0.5,Miami best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155961
2,2,1,Miami best restaurant,Restaurants in Miami,Find Out About New Spots - But Only The Good Ones with Thrillist Emails ,Thrillist.com,"Miami-Ft. Lauderdale, FL",1269155961
2,1,0.5,Miami Brazilian steakhouse,Chophouse Miami,"Steaks, Seafood, Wine &amp; More. Call Now For Reservations. Miami. ",www.ChophouseMiami.com,"300 S. Biscayne Blvd., Miami, FL 33133",1269150512
2,2,1,Miami Brazilian steakhouse,Flamma Brazilian Steak,Brazilian steakhouse Churrascaria North Miami Beach Fl 33160 ,www.flammasteakhouse.com,,1269150512
2,1,0.5,Miami Chinese restaurant,Philippe Chow Miami,Experience Exquisite Asian Fare. At the Gansevoort S. Hotel. Miami. ,www.PhilippeChow.com,"2305 Collins Ave., Miami, FL 33139",1269050585
2,2,1,Miami Chinese restaurant,chinese restaurant miami,"Special Events, Parties and more Affordable Professional Catering ",QianlongChineseFood.AdzZoo.com,"Miami, FL",1269050585
1,1,1,Miami Ethiopian restaurant,Miami Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269057146
4,1,0.25,Miami fine dining restaurant,Il Gabbiano Restaurant,Fine Italian Cuisine in Miami Best Restaurant 2009 ,www.ilgabbianomia.com,"Miami-Ft. Lauderdale, FL",1269153755
4,2,0.5,Miami fine dining restaurant,Sci Sci Brickell,Italian Restaurant lunch for $11.95 Happy Hour 2 for 1. ,www.sciscigroup.com,"Miami, FL",1269153755
4,3,0.75,Miami fine dining restaurant,Grimpa Steakhouse,Premium beef. Premium taste. 305.455.4757 ,www.grimpa.com,"901 Brickell Plaza, Miami, FL 33130",1269153755
4,4,1,Miami fine dining restaurant,South Beach 5 Star Dining,"Embrace Elegance, Luxury &amp; Serenity at Miami&#39;s Premier 5 Star Resort. ",www.Setai.com,,1269153755
2,1,0.5,Miami French restaurant,Grimpa Steakhouse,Premium beef. Premium taste. 305.455.4757 ,www.grimpa.com,"901 Brickell Plaza, Miami, FL 33130",1269147550
2,2,1,Miami French restaurant,French Restaurant Miami,The Fun &amp; Easy Way to Find French Restaurant Miami at Low Prices ,www.Gifts.com,,1269147550
1,1,1,Miami Greek restaurant,Taverna Opa Restaurant,"Live Entertainment, Fresh Seafood Great Steaks, lots of Fun! ",www.opaorlando.com,Florida,1269148372
4,1,0.25,Miami healthy restaurant,Grimpa Steakhouse,Premium beef. Premium taste. 305.455.4757 ,www.grimpa.com,"901 Brickell Plaza, Miami, FL 33130",1269155151
4,2,0.5,Miami healthy restaurant,Healthy Eating,"Try Blue Diamond Nut-Thins, loaded with the health benefits of nuts! ",www.bluediamond.com,,1269155151
4,3,0.75,Miami healthy restaurant,Quick Weight Loss Centers,Lose 3-7 lbs per week. South Florida&#39;s weight loss secret! ,quickweightloss.net/area,,1269155151
4,4,1,Miami healthy restaurant,Eat Healthy Lunch Meals,Try New Healthy Mixers For Fast Tasty Lunches. Microwave in minutes ,HealthyChoice.com/Fresh-Mixers,,1269155151
1,1,1,Miami Indian restaurant,Bing™ Restaurant Search,Miami Indian Restaurant. Reviews &amp; Maps of Local Restaurants ,www.bing.com/Local,,1269056311
1,1,1,Miami Irish bar restaurant,Miami Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269140382
2,1,0.5,Miami Italian restaurant,Miami Italian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269049286
2,2,1,Miami Italian restaurant,Miami Italian Restaurant,Find The Perfect Romantic Restaurant at Zagat.com! ,www.zagat.com,"Miami-Ft. Lauderdale, FL",1269049286
2,1,0.5,Miami Japanese restaurant,Miami Japanese Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269052937
2,2,1,Miami Japanese restaurant,Benihana in Florida,Get directions to a local Benihana near you. Get more information now! ,www.Benihana.com,,1269052937
2,1,0.5,Miami Mediterranean restaurant,Steakhouse Miami,"Steaks, Seafood, Wine &amp; More. Call Now For Reservations. Miami. ",www.ChophouseMiami.com,,1269146992
2,2,1,Miami Mediterranean restaurant,Mediterranean Restaurants,Mediterranean Cafes &amp; Delivery. Search Our Restaurant Listings Now! ,yellowpages.com,"Miami-Ft. Lauderdale, FL",1269146992
1,1,1,Miami Mexican restaurant,Grimpa Steakhouse,Premium beef. Premium taste. 305.455.4757 ,www.grimpa.com,"901 Brickell Plaza, Miami, FL 33130",1269152979
1,1,1,Miami Middle Eastern restaurant,Moroccan &amp; Middle Eastern,Unique Furniture-Lighting-Jewelry Syrian Mother-of-Pearl Inlay ,wunderley.com,,1269141333
3,1,0.333333333,Miami romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154289
3,2,0.666666667,Miami romantic restaurant,The Melting Pot Miami,Dip Into Romantic Fondue Specials. Miami&#39;s Choice for Valentines Week. ,www.meltingpot.com,,1269154289
3,3,1,Miami romantic restaurant,Miami Date Restaurants,Go to Date Spots that Don&#39;t Suck Get Thrillist Free Daily Emails ,Thrillist.com,"Miami-Ft. Lauderdale, FL",1269154289
2,1,0.5,Miami Spanish restaurant,Grimpa Steakhouse,Premium beef. Premium taste. 305.455.4757 ,www.grimpa.com,"901 Brickell Plaza, Miami, FL 33130",1269152423
2,2,1,Miami Spanish restaurant,Spanish Restaurant Miami,100s of Spanish Restaurant Miami Top Brands at Low Prices ,www.Gifts.com,,1269152423
1,1,1,Miami Steak restaurant,Steakhouse Miami,"Steaks, Seafood, Wine &amp; More. Call Now For Reservations. Miami. ",www.ChophouseMiami.com,,1269054409
1,1,1,Miami Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053498
2,1,0.5,Miami Tapas restaurant,Grimpa Steakhouse,Premium beef. Premium taste. 305.455.4757 ,www.grimpa.com,"901 Brickell Plaza, Miami, FL 33130",1269151035
2,2,1,Miami Tapas restaurant,Steakhouse Miami,"Steaks, Seafood, Wine &amp; More. Call Now For Reservations. Miami. ",www.ChophouseMiami.com,,1269151035
1,1,1,Miami Thai restaurant,Bing™ Restaurant Search,Miami Thai Restaurant. Reviews &amp; Maps of Local Restaurants ,www.bing.com/Local,,1269049810
2,1,0.5,Miami Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055749
2,2,1,Miami Vegan restaurant,Miami Vegan Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269055749
2,1,0.5,Miami Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054939
2,2,1,Miami Vegetarian restaurant,Miami Vegetarian Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269054939
1,1,1,Miami Wine Bar restaurant,Miami Restaurants Bar,Miami&#39;s Big. Find Out Where to Go Before the People Who Suck Do. ,Thrillist.com,"Miami-Ft. Lauderdale, FL",1269133668
1,1,1,Milwaukee Brazilian steakhouse,Dine at Fleming&#39;s Tonight,"Reserve online: Enjoy our prime steak, seafood &amp; world-class wine. ",FlemingsSteakhouse.com,Wisconsin,1269148736
1,1,1,Milwaukee Chinese restaurant,Bing™ Search Local,Milwaukee Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050369
1,1,1,Milwaukee Ethiopian restaurant,Bing™ Search Local,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269056927
1,1,1,Milwaukee fine dining restaurant,Fleming&#39;s in Wisconsin,The greatest steak you ever had. Easy online reservations. ,FlemingsSteakhouse.com,Wisconsin,1269153562
1,1,1,Milwaukee French restaurant,Milwaukee French Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269147355
1,1,1,Milwaukee Greek restaurant,Milwaukee Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269148159
1,1,1,Milwaukee Indian restaurant,Milwaukee Indian Food,Milwaukee Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269056119
1,1,1,Milwaukee Irish bar restaurant,Irish Pubs Milwaukee,Discover all the Irish bars and pubs in and around Milwaukee ,www.barmano.com/irish-bars,"Milwaukee, WI",1269134038
3,1,0.333333333,Milwaukee Italian restaurant,Milwaukee Italian Dining,"Restaurant Serving Seafood, Steak and Pizza. Call for Reservations! ",www.balistreris.net,"Milwaukee, WI",1269048946
3,2,0.666666667,Milwaukee Italian restaurant,Milwaukee Italian Restaurant,Dine on Authentic Italian Cuisine in an Historic &amp; Elegant Setting. ,www.LibiamoRestaurant.com,,1269048946
3,3,1,Milwaukee Italian restaurant,Italian Restaurant Menus,Menus from Intalian restaurants Find local Italian restaurants ,www.italian-restaurant-menus.com,,1269048946
2,1,0.5,Milwaukee Japanese restaurant,Bing™ Search Local,Milwaukee Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269052341
2,2,1,Milwaukee Japanese restaurant,Restaurant Japanese,Check Out Local.com To Find Restaurant Japanese In Your Area! ,Local.com,"Milwaukee, WI",1269052341
1,1,1,Milwaukee Korean restaurant,Milwaukee Restaurants,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269050946
